id	author_id	base_language	text	posted_time_in_years
248	729	hin	हमाम में सब नंगे हैं  government has proved tht within a month. they r no different class of politicians. it's hopeless to hope honesty	2014
10601	729	hin	साइयाँ हैं कोतवाल, तो डर काहे का...    promoter of company in default of rs  crore has ties to , family  via	2018
32	69	hin	top dramabaaz nautanki's in indian politics: arvind kejriwal &amp; raj thackeray.publicity ke like kuch bhi karega	2014
0	724	hin	ye bollywood hae  ye kahani hae sadiyon purani remakes bante haen chalte haen bante jayen ge aur chalte jayen ge!	2014
17	555	hin	ice-cream khaoge kashmir jaaooge! death of bollywood songs! with himesh nodding his head.	2014
1345	316	hin	supriya sule to cnn-ibn:there is no difference of opinion within ncp on support extended to bjp government.	2014
5965	173	hin	when is eid ! salman ki film ka itna halla kyu hai bhai ( with apologies to the original sholey sannata line)	2016
411	559	hin	"""hrithik does amazing action. wo ladka he taarif ke kaabil hai. but i haven't seen  teaser. pehle apna dekh loon."" salman khan"	2014
423	559	hin	"watched . and as salman khan said,""itna socho mat. dil mein aata hoon, samajh mein nahin."" so i'm not thinking much. it's for khan fans"	2014
473	559	hin	"""ab hum ( and i) gale milte hain,pyaar karte hain. koi gila-shikwa nahin hai.""  on salman khan"	2014
2007	559	hin	a song from rani mukerji and salman khan starrer kahin pyar na ho jaaye	2015
20	1409	hin	the desperation in the name of secularism and socialism politics my enforce even maya &amp; mulayam to come together,after sharad y offer  lalu	2014
80	1409	hin	fir bhi, yeh dilli hai, mh ki politics ko dehk ke pata nahi ek ajeeb si feeling hoti hai.	2014
111	1409	hin	""": bjp to nominate javadekar for rs from madhya pradesh  mujhe kab karoge?"	2014
496	1409	hin	complete all projects at the earliest:akhilesh to power department  रहन दियो  के लाल तुमसे ना होपायेगा	2014
499	1409	hin	welcome growth in sikh, indian communities in victoria: denis napthine   jiyo.	2014
498	1409	hin	minister of state for commerce nirmala sitharaman replies in tamil in lok sabha   illa...	2014
881	1409	hin	mere baap ka hai: ajit singh's wagers father's legacy for lutyens bungalow  rofl. you will laugh after this. :)	2014
2447	1409	hin	""": प्रशांत, योगेंद्र को निपटाने पर अड़े केजरीवाल!   किया चाकू छुरी का इस्तेमाल।"	2015
61	1409	hin	""": i dont want srk's team to win at all costs!"" me too. but one frnd mess me indian ko cup mile aussie ko nahi..."	2014
439	1409	hin	woah! jaquliene (some model turn movie dancer) does not know hindi but proclaimed to be heroine of bollywood.   sab maya hai.	2014
944	1409	hin	pm starts his own 'swachh bharat' challenge   interesting salman-,aamir comes in pm scheme not sonia fav sharukh. gud	2014
7705	4006	hin	sir, nagpur ki khud ki university nahi hai? jo aap private institutes ko promote kar rahe ho? government universities ka kya?	2017
7730	4006	hin	itna darrte kyu ho sirji, apni politics karo, hum apni karte, janta to jawaab de hi degi soon.	2017
7772	4006	hin	clash with ideology. zameen aasmaan ka difference hai, new for indian politics nahi?	2017
9083	4006	hin	but dekho kitni focused government hai. they have their priorities on point!!	2017
10481	4006	hin	video mein donors का mazaak kahaan बनाया? on the contrary, donations will strengthen the politics of the  in full valor now. best &amp; hopeful minds of our country will unleash themselves against the establishment in the most lethal political battle india has ever seen	2018
10592	4006	hin	watching hindi medium! seeing delhi government's work in the education sector resonates with the kind of society we can build by revamping education! tears roll down, revolution in the making! - liter khoon extra badh gaya aaj!	2018
11902	4006	hin	this government is caught. they know it.    ोदी_ही_मौनमोहन_है       waise these these hashtags trending right now are telling alot about the silent uprising!	2018
16685	4006	hin	mns has a habit to follow everything that has a thoda bohot constant vote share.   does this mean senseless lethal hindutva is slowly being taken over by rational thinking?   does this new anti modi/shah fresh air in politics begin after delhi elections?   dekhte rahiye 	2020
20879	4006	hin	social media se bahar niklo kaayron. tumse sanghatan nahi sambhala ja raha, na opposition ka role nibhaya ja raha hai aur na national politics.	2021
1968	1813	hin	naseeb wali pharma companies.  badnaseeb janata.	2015
18	2556	hin	"""as suggested you before leave pappu gang.....join namo,if wants do some positive work in politics. ...pappu can't dance saala"""	2014
175	2500	hin	sterling, disastrous kick!!!!  buy a bollywood movie and come to mumbai	2014
2404	2500	hin	haan bhaijaan.. maxwell and watson out phir khatam??  faulkner toh honeymoon manna raha hai naah..	2015
513	307	hin	"when i met lalu this april: ""nitish ki dukaan mein to koi bidi kharidne bhi nahi jaa raha, nitish to khatam ho gayo"""	2014
1778	578	hin	kejriwal has turned electricity &amp; wi-fi into the new rice of india's electoral politics. roti kapda makan era over. bijli and bandwidth on	2015
6416	578	hin	dear subramanian swamy, this isn't  and narendra modi isn't vajpayee	2016
